nume_actiune,timestamp
READ_ALL_COMENZI,2025-05-19 22:52:25
READ_ALL_CLIENTS,2025-05-19 22:52:25
READ_ALL_CLIENTS,2025-05-19 22:52:25
READ_ALL_COMENZI,2025-05-19 22:52:25
READ_ALL_COMENZI,2025-05-19 22:52:25
READ_ALL_PRODUSE,2025-05-19 22:52:25
READ_ALL_PRODUSE,2025-05-19 22:52:25
CREATE_FACTURA,2025-05-19 22:52:25
READ_ALL_COMENZI,2025-05-19 22:52:25
READ_ALL_PRODUSE,2025-05-19 22:52:25
READ_ALL_PRODUSE,2025-05-19 22:52:25
READ_ALL_CLIENTS,2025-05-19 22:53:22
READ_ALL_COMENZI,2025-05-19 22:53:22
READ_ALL_CLIENTS,2025-05-19 22:53:22
CREATE_PRODUS,2025-05-19 22:53:22
CREATE_PRODUS,2025-05-19 22:53:22
CREATE_PRODUS,2025-05-19 22:53:22
CREATE_CLIENT,2025-05-19 22:53:22
READ_ALL_CLIENTS,2025-05-19 22:53:22
READ_ALL_COMENZI,2025-05-19 22:53:22
CREATE_CLIENT,2025-05-19 22:53:22
READ_ALL_CLIENTS,2025-05-19 22:53:22
READ_ALL_COMENZI,2025-05-19 22:53:22
READ_ALL_COMENZI,2025-05-19 22:53:22
READ_ALL_CLIENTS,2025-05-19 22:53:22
READ_ALL_CLIENTS,2025-05-19 22:53:22
READ_ALL_COMENZI,2025-05-19 22:53:22
READ_ALL_COMENZI,2025-05-19 22:53:22
READ_ALL_PRODUSE,2025-05-19 22:53:22
READ_ALL_PRODUSE,2025-05-19 22:53:22
CREATE_FACTURA,2025-05-19 22:53:22
READ_ALL_FACTURI,2025-05-19 22:53:22
READ_ALL_CLIENTS,2025-05-19 22:57:22
READ_ALL_COMENZI,2025-05-19 22:57:22
READ_ALL_CLIENTS,2025-05-19 22:57:22
CREATE_PRODUS,2025-05-19 22:57:22
CREATE_PRODUS,2025-05-19 22:57:22
CREATE_PRODUS,2025-05-19 22:57:22
CREATE_CLIENT,2025-05-19 22:57:22
READ_ALL_CLIENTS,2025-05-19 22:57:22
READ_ALL_COMENZI,2025-05-19 22:57:22
CREATE_CLIENT,2025-05-19 22:57:22
READ_ALL_CLIENTS,2025-05-19 22:57:22
READ_ALL_COMENZI,2025-05-19 22:57:22
READ_ALL_COMENZI,2025-05-19 22:57:22
READ_ALL_CLIENTS,2025-05-19 22:57:22
READ_ALL_CLIENTS,2025-05-19 22:57:22
READ_ALL_COMENZI,2025-05-19 22:57:22
READ_ALL_COMENZI,2025-05-19 22:57:22
READ_ALL_PRODUSE,2025-05-19 22:57:22
READ_ALL_PRODUSE,2025-05-19 22:57:22
CREATE_FACTURA,2025-05-19 22:57:22
READ_ALL_FACTURI,2025-05-19 22:57:22
READ_ALL_CLIENTS,2025-05-19 22:57:40
READ_ALL_COMENZI,2025-05-19 22:57:40
READ_ALL_CLIENTS,2025-05-19 22:57:40
CREATE_PRODUS,2025-05-19 22:57:40
CREATE_PRODUS,2025-05-19 22:57:40
CREATE_PRODUS,2025-05-19 22:57:40
READ_ALL_CLIENTS,2025-05-19 22:57:40
READ_ALL_COMENZI,2025-05-19 22:57:40
READ_ALL_CLIENTS,2025-05-19 22:57:40
READ_ALL_COMENZI,2025-05-19 22:57:40
READ_ALL_COMENZI,2025-05-19 22:57:40
READ_ALL_CLIENTS,2025-05-19 22:57:40
READ_ALL_CLIENTS,2025-05-19 22:57:40
READ_ALL_COMENZI,2025-05-19 22:57:40
READ_ALL_COMENZI,2025-05-19 22:57:40
READ_ALL_PRODUSE,2025-05-19 22:57:40
READ_ALL_PRODUSE,2025-05-19 22:57:40
READ_ALL_FACTURI,2025-05-19 22:57:40
READ_ALL_CLIENTS,2025-05-19 22:57:59
READ_ALL_COMENZI,2025-05-19 22:57:59
READ_ALL_CLIENTS,2025-05-19 22:57:59
CREATE_PRODUS,2025-05-19 22:57:59
CREATE_PRODUS,2025-05-19 22:57:59
CREATE_PRODUS,2025-05-19 22:57:59
CREATE_CLIENT,2025-05-19 22:57:59
READ_ALL_CLIENTS,2025-05-19 22:57:59
READ_ALL_COMENZI,2025-05-19 22:57:59
CREATE_CLIENT,2025-05-19 22:57:59
READ_ALL_CLIENTS,2025-05-19 22:57:59
READ_ALL_COMENZI,2025-05-19 22:57:59
READ_ALL_COMENZI,2025-05-19 22:57:59
READ_ALL_CLIENTS,2025-05-19 22:57:59
READ_ALL_CLIENTS,2025-05-19 22:57:59
READ_ALL_COMENZI,2025-05-19 22:57:59
READ_ALL_COMENZI,2025-05-19 22:57:59
READ_ALL_PRODUSE,2025-05-19 22:57:59
READ_ALL_PRODUSE,2025-05-19 22:57:59
CREATE_FACTURA,2025-05-19 22:57:59
READ_ALL_FACTURI,2025-05-19 22:57:59
READ_ALL_CLIENTS,2025-05-19 23:03:07
READ_ALL_COMENZI,2025-05-19 23:03:07
READ_ALL_CLIENTS,2025-05-19 23:03:07
CREATE_PRODUS,2025-05-19 23:03:07
CREATE_PRODUS,2025-05-19 23:03:07
CREATE_PRODUS,2025-05-19 23:03:07
CREATE_CLIENT,2025-05-19 23:03:07
READ_ALL_CLIENTS,2025-05-19 23:03:07
READ_ALL_COMENZI,2025-05-19 23:03:07
CREATE_CLIENT,2025-05-19 23:03:07
READ_ALL_CLIENTS,2025-05-19 23:03:07
READ_ALL_COMENZI,2025-05-19 23:03:07
READ_ALL_COMENZI,2025-05-19 23:03:07
READ_ALL_CLIENTS,2025-05-19 23:03:07
READ_ALL_CLIENTS,2025-05-19 23:03:07
READ_ALL_COMENZI,2025-05-19 23:03:07
READ_ALL_COMENZI,2025-05-19 23:03:07
READ_ALL_PRODUSE,2025-05-19 23:03:07
READ_ALL_PRODUSE,2025-05-19 23:03:07
CREATE_FACTURA,2025-05-19 23:03:07
READ_ALL_FACTURI,2025-05-19 23:03:07
READ_ALL_CLIENTS,2025-05-19 23:05:18
READ_ALL_COMENZI,2025-05-19 23:05:18
READ_ALL_CLIENTS,2025-05-19 23:05:18
CREATE_PRODUS,2025-05-19 23:05:18
CREATE_PRODUS,2025-05-19 23:05:18
CREATE_PRODUS,2025-05-19 23:05:18
CREATE_CLIENT,2025-05-19 23:05:18
CREATE_COMANDA,2025-05-19 23:05:18
READ_ALL_CLIENTS,2025-05-19 23:05:18
READ_CLIENT,2025-05-19 23:05:18
READ_PRODUS,2025-05-19 23:05:18
READ_PRODUS,2025-05-19 23:05:18
READ_COMANDA,2025-05-19 23:05:18
READ_ALL_COMENZI,2025-05-19 23:05:18
CREATE_CLIENT,2025-05-19 23:05:18
CREATE_COMANDA,2025-05-19 23:05:18
READ_ALL_CLIENTS,2025-05-19 23:05:18
READ_CLIENT,2025-05-19 23:05:18
READ_PRODUS,2025-05-19 23:05:18
READ_PRODUS,2025-05-19 23:05:18
READ_COMANDA,2025-05-19 23:05:18
READ_CLIENT,2025-05-19 23:05:18
READ_PRODUS,2025-05-19 23:05:18
READ_COMANDA,2025-05-19 23:05:18
READ_ALL_COMENZI,2025-05-19 23:05:18
READ_CLIENT,2025-05-19 23:05:18
READ_PRODUS,2025-05-19 23:05:18
READ_PRODUS,2025-05-19 23:05:18
READ_COMANDA,2025-05-19 23:05:18
READ_CLIENT,2025-05-19 23:05:18
READ_PRODUS,2025-05-19 23:05:18
READ_COMANDA,2025-05-19 23:05:18
READ_ALL_COMENZI,2025-05-19 23:05:18
READ_ALL_CLIENTS,2025-05-19 23:05:18
READ_ALL_CLIENTS,2025-05-19 23:05:18
READ_CLIENT,2025-05-19 23:05:18
READ_PRODUS,2025-05-19 23:05:18
